SPECIES_CODE,PRIMARY_COM_NAME,ABA_BIRDING_CODE
eurcoo,Eurasian Coot,5
eurcur,Eurasian Curlew,4
eurdot,Eurasian Dotterel,4
eurhob,Eurasian Hobby,4
eurwry,Eurasian Wryneck,5
fepowl,Ferruginous Pygmy-Owl,3
flfshe,Flesh-footed Shearwater,3
greela,Greenish Elaenia,5
grekno,Great Knot,4
grybun,Gray Bunting,5
gycyel,Gray-crowned Yellowthroat,4
hawfin,Hawfinch,4
kelgul,Kelp Gull,4
kwqdov,Key West Quail-Dove,4
labduc,Labrador Duck,6
lanwar,Lanceolated Warbler,5
marsan,Marsh Sandpiper,5
masduc,Masked Duck,3
motowl,Mottled Owl,5
murpet,Murphy's Petrel,3
narfly,Narcissus Flycatcher,5
carela1,Caribbean Elaenia,5
oripra,Oriental Pratincole,5
orsowl,Oriental Scops-Owl,5
palbun,Pallas's Bunting,5
paspig,Passenger Pigeon,6
pecpip,Pechora Pipit,4
reebun,Reed Bunting,4
rensti,Red-necked Stint,3
retpip,Red-throated Pipit,3
roahaw,Roadside Hawk,4
rosgul,Ross's Gull,3
rugdov,Ruddy Ground-Dove,3
ruqdov,Ruddy Quail-Dove,5
belgul,Belcher's Gull,5
shtsan,Sharp-tailed Sandpiper,3
slbcur,Slender-billed Curlew,6
sltred,Slate-throated Redstart,4
smbani,Smooth-billed Ani,3
trspet,Tristram's Storm-Petrel,5
werher,Western Reef-Heron,5
wfspet,White-faced Storm-Petrel,3
whcpin,White-cheeked Pintail,4
whehum,White-eared Hummingbird,3
whteag,White-tailed Eagle,4
whtnee,White-throated Needletail,5
wrspet,Wedge-rumped Storm-Petrel,4
yegvir,Yellow-green Vireo,3
zendov,Zenaida Dove,5
aztthr,Aztec Thrush,4
bargoo,Barnacle Goose,4
berpet,Bermuda Petrel,4
bktgod,Black-tailed Godwit,3
blubun,Blue Bunting,4
brbsan,Broad-billed Sandpiper,4
brnjay,Brown Jay,3
brnshr,Brown Shrike,4
bulpet,Bulwer's Petrel,5
comcra,Common Crane,4
comsni,Common Snipe,3
comswi,Common Swift,5
coopet,Cook's Petrel,3
corcra,Corn Crake,4
crcgro,Crimson-collared Grosbeak,4
eskcur,Eskimo Curlew,6
redwin,Redwing,4
smew,Smew,3
whwter,White-winged Tern,4
