species,location,county,state_prov,country,access,code,date_found,scale,not_in_ebird
Siberian Accentor,Surrey,,British Columbia,Canada,accessible,4,3/01/2016,ABA,
Black-tailed Gull,Carlyle Lake,Clinton,Illinois,United States,accessible,4,11/01/2016,ABA,
Blue Bunting,Frontera Audubon Center,Hidalgo,Texas,United States,accessible,4,31/01/2016,ABA,
White-throated Thrush,Estero Llana Grande State Park,Hidalgo,Texas,United States,accessible,4,5/02/2016,ABA,
Zenaida Dove,Long Key State Park,Monroe,Florida,United States,accessible,5,20/02/2016,ABA,
Great White Pelican,Ding Darling NWR,Lee,Florida,United States,accessible,1st,28/02/2016,ABA,
Redwing,Nashua,Hillsborough,New Hampshire,United States,accessible,4,13/03/2016,ABA,
European Golden-Plover,Lumsden,,Newfoundland and Labrador,Canada,accessible,4,10/04/2016,ABA,
Cuban Vireo,Fort Zachary Taylor,Monroe,Florida,United States,accessible,1st,19/04/2016,ABA,
Marsh Sandpiper,Yolo Bypass Wildlife Area,Yolo,California,United States,accessible,5,17/04/2016,ABA,
Little Egret,Gilsland Farm,Cumberland,Maine,United States,accessible,4,23/04/2016,ABA,
Little Stint,San Jose,Alviso,California,United States,accessible,4,20/04/2016,ABA,
Gray Heron,Bonavista,,Newfoundland and Labrador,Canada,accessible,5,7/05/2016,ABA,
White-winged Tern,"Race Point, Cape Cod",Barnstable,Massachusetts,United States,accessible,4,8/05/2016,ABA,
Berylline Hummingbird,Santa Rita Lodge,Santa Cruz,Arizona,United States,accessible,4,21/05/2016,ABA,
Plain-capped Starthroat,Santa Rita Lodge,Santa Cruz,Arizona,United States,accessible,4,20/05/2016,ABA,
Pine Flycatcher,Santa Rita Mountains,Pima,Arizona,United States,accessible,1st,28/05/2016,ABA,
Garganey,Montezuma NWR,Seneca,New York,United States,accessible,4,5/06/2016,ABA,
Great Knot,Seal Island,Knox,Maine,United States,restricted,4,23/07/2016,ABA,
Amethyst-throated Hummingbird,Saguenay County,,Quebec,Canada,accessible,1st,30/07/2016,ABA,
European Golden-Plover,Forsyth NWR,Ocean,New Jersey,United States,restricted,4,3/08/2016,ABA,
Jabiru,southern Victoria County,Victoria,Texas,United States,accessible,4,24/08/2016,ABA,
Dusky Warbler,south of San Francisco,San Mateo,California,United States,accessible,4,24/09/2016,ABA,
Variegated Flycatcher,South Padre Island,Cameron,Texas,United States,accessible,5,28/09/2016,ABA,
Lesser Sand-Plover,Round Cedar Lake,Coconino,Arizona,United States,accessible,3,2/10/2016,ABA,
Amethyst-throated Hummingbird,Davis Mountains,Jeff Davis,Texas,United States,restricted,1st,15/10/2016,ABA,
Amazon Kingfisher,Zacata Creek,Webb,Texas,United States,accessible,5,30/10/2016,ABA,
Common Scoter,Lincoln County Oregon,Lincoln,Oregon,United States,accessible,5,13/11/2016,ABA,
Common Pochard,Humboldt County,Humboldt,California,United States,accessible,3,20/12/2016,ABA,
Scott's Oriole,,Pickens,South Carolina,United States,accessible,,,State,
Lesser Goldfinch,,Lake,Tennessee,United States,accessible,,,State,
Virginia's Warbler,,,New Brunswick,Canada,deceased,,,State,
Eurasian Tree Sparrow,,Portage,Ohio,United States,accessible,,,State,Not in eBird
Mew Gull,,Caddo,Louisiana,United States,accessible,,,State,
Thayer's Gull,,Horry,South Carolina,United States,accessible,,,State,
Couch's Kingbird,,Jackson,Mississippi,United States,accessible,,,State,
Mountain Plover,,Carteret,North Carolina,United States,accessible,,,State,
Brambling,,Pulaski,Arkansas,United States,accessible,,,State,
Green-breasted Mango,,Miami-Dade,Florida,United States,accessible,,,State,Not in eBird
Mottled Duck,,Anoka,Minnesota,United States,accessible,,,State,
Yellow-billed Loon,,Barnstable,Massachusetts,United States,accessible,,,State,
Tufted Duck,,Rockingham,New Hampshire,United States,accessible,,,State,
Redwing,,Hillsborough,New Hampshire,United States,accessible,,,State,
California Gull,,New Haven,Connecticut,United States,accessible,,,State,
Mountain Bluebird,,Rockingham,New Hampshire,United States,accessible,,,State,
Pacific Golden-Plover,,Palm Beach,Florida,United States,accessible,,,State,
Cuban Vireo,,Monroe,Florida,United States,accessible,,,State,
Black-throated Sparrow,,,New Brunswick,Canada,accessible,,,State,
Little Egret,,Hyde,North Carolina,United States,accessible,,,State,
Grace's Warbler,,,Ontario,Canada,accessible,,,State,
Lucy's Warbler,,,British Columbia,Canada,accessible,,,State,
Lazuli Bunting,,,New Brunswick,Canada,accessible,,,State,
Violet-green Swallow,,Mecklenburg,North Carolina,United States,accessible,,,State,
Buff-breasted Flycatcher,,Kern,California,United States,accessible,,,State,
Ancient Murrelet,,Knox,Maine,United States,accessible,,,State,
Tropical Kingbird,,Bayfield,Wisconsin,United States,accessible,,,State,
White-crowned Pigeon,,Plaquemines,Louisiana,United States,accessible,,,State,
White-faced Ibis,,Klawock,Alaska,United States,accessible,,,State,
Pine Flycatcher,,Pima,Arizona,United States,accessible,,,State,
Ancient Murrelet,,,Maine,United States,accessible,,,State,
Ancient Murrelet,,,New Brunswick,Canada,accessible,,,State,
Gull-billed Tern,,Lac qui Parle,Minnesota,United States,accessible,,,State,
Gull-billed Tern,,Deuel,South Dakota,United States,accessible,,,State,
Garganey,,Seneca,New York,United States,accessible,,,State,
European Storm-Petrel,,,Florida,United States,accessible,,,State,
Curve-billed Thrasher,,Platte,Wyoming,United States,accessible,,,State,
Crested Caracara,,Dare,North Carolina,United States,accessible,,,State,
Brown Booby,,Boulder,Colorado,United States,accessible,,,State,
Crested Caracara,,Alger,Michigan,United States,accessible,,,State,
Common Swift,,,Newfoundland and Labrador,Canada,accessible,,,State,
Wandering Tattler,,Leelanau,Michigan,United States,accessible,,,State,Not in eBird
Cassin's Kingbird,,,Saskatchewan,Canada,accessible,,,State,
Great Knot,,Knox,Maine,United States,restricted,,,State,
Amethyst-throated Hummingbird,,,Quebec,Canada,accessible,,,State,
Sharp-tailed Sandpiper,,Muskegon,Michigan,United States,accessible,,,State,
Sharp-tailed Sandpiper,,Lonoke,Arkansas,United States,accessible,,,State,
Audubon's Shearwater,,,New Brunswick,Canada,accessible,,,State,
Common Ringed Plover,,,Ontario,Canada,accessible,,,State,
Least Auklet,,Westport,Washington,United States,deceased,,,State,
Arctic Warbler,,Clark,Nevada,United States,restricted,,,State,Not in eBird
Common Ringed Plover,,Iroquois,Illinois,United States,accessible,,,State,
Sharp-tailed Sandpiper,,Carver,Minnesota,United States,accessible,,,State,
Sharp-tailed Sandpiper,,,Saskatchewan,Canada,accessible,,,State,
Variegated Flycatcher,,Cameron,Texas,United States,accessible,,,State,
Gray Wagtail,,Grays Harbor,Washington,United States,restricted,,,State,
Yellow-green Vireo,,Charleston,South Carolina,United States,restricted,,,State,
Lesser Sand-Plover,,Coconino,Arizona,United States,accessible,,,State,
Western Wood-Pewee,,,Quebec,Canada,accessible,,,State,
Amethyst-throated Hummingbird,,Jeff Davis,Texas,United States,restricted,,,State,
Brown Booby,,Humphreys,Tennessee,United States,accessible,,,State,
Sprague's Pipit,,Fairfield,Connecticut,United States,accessible,,,State,
White Wagtail,,Rockingham,New Hampshire,United States,accessible,,,State,
Painted Redstart,,,Manitoba,Canada,accessible,,,State,
Field Sparrow,,Clallam,Washington,United States,accessible,,,State,
Common Scoter,,Lincoln,Oregon,United States,accessible,,,State,
Northern Wheatear,,Loudon,Tennessee,United States,accessible,,,State,
Crested Caracara,,Forsyth,Georgia,United States,accessible,,,State,
Sagebrush Sparrow,,Chippewa,Michigan,United States,accessible,,,State,
Common Crane,,Texas,Oklahoma,United States,accessible,,,State,
Anna's Hummingbird,,Douglas,Nebraska,United States,accessible,,,State,
Bohemian Waxwing,,Knox,Tennessee,United States,accessible,,,State,
Dusky-capped Flycatcher,,Clallam,Washington,United States,accessible,,,State,
Blue Grosbeak,,Clallam,Washington,United States,accessible,,,State,
Common Shelduck,,,Quebec,Canada,accessible,,,State,
Lesser Goldfinch,,Virginia Beach,Virginia,United States,accessible,,,State,
Sandhill Crane,,,District of Columbia,United States,accessible,,,State,
Purple Sandpiper,,Summit,Colorado,United States,accessible,,,State,
Red-flanked Bluetail,,Nez Perce,Idaho,United States,accessible,,,State,
